GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No vehicle available,Margin of Error; Total: - No vehicle available,Estimate; Total: - 1 vehicle available,Margin of Error; Total: - 1 vehicle available,Estimate; Total: - 2 vehicles available,Margin of Error; Total: - 2 vehicles available,Estimate; Total: - 3 vehicles available,Margin of Error; Total: - 3 vehicles available,Estimate; Total: - 4 or more vehicles available,Margin of Error; Total: - 4 or more vehicles available,Estimate; Total: - 1-person household:,Margin of Error; Total: - 1-person household:,Estimate; Total: - 1-person household: - No vehicle available,Margin of Error; Total: - 1-person household: - No vehicle available,Estimate; Total: - 1-person household: - 1 vehicle available,Margin of Error; Total: - 1-person household: - 1 vehicle available,Estimate; Total: - 1-person household: - 2 vehicles available,Margin of Error; Total: - 1-person household: - 2 vehicles available,Estimate; Total: - 1-person household: - 3 vehicles available,Margin of Error; Total: - 1-person household: - 3 vehicles available,Estimate; Total: - 1-person household: - 4 or more vehicles available,Margin of Error; Total: - 1-person household: - 4 or more vehicles available,Estimate; Total: - 2-person household:,Margin of Error; Total: - 2-person household:,Estimate; Total: - 2-person household: - No vehicle available,Margin of Error; Total: - 2-person household: - No vehicle available,Estimate; Total: - 2-person household: - 1 vehicle available,Margin of Error; Total: - 2-person household: - 1 vehicle available,Estimate; Total: - 2-person household: - 2 vehicles available,Margin of Error; Total: - 2-person household: - 2 vehicles available,Estimate; Total: - 2-person household: - 3 vehicles available,Margin of Error; Total: - 2-person household: - 3 vehicles available,Estimate; Total: - 2-person household: - 4 or more vehicles available,Margin of Error; Total: - 2-person household: - 4 or more vehicles available,Estimate; Total: - 3-person household:,Margin of Error; Total: - 3-person household:,Estimate; Total: - 3-person household: - No vehicle available,Margin of Error; Total: - 3-person household: - No vehicle available,Estimate; Total: - 3-person household: - 1 vehicle available,Margin of Error; Total: - 3-person household: - 1 vehicle available,Estimate; Total: - 3-person household: - 2 vehicles available,Margin of Error; Total: - 3-person household: - 2 vehicles available,Estimate; Total: - 3-person household: - 3 vehicles available,Margin of Error; Total: - 3-person household: - 3 vehicles available,Estimate; Total: - 3-person household: - 4 or more vehicles available,Margin of Error; Total: - 3-person household: - 4 or more vehicles available,Estimate; Total: - 4-or-more-person household:,Margin of Error; Total: - 4-or-more-person household:,Estimate; Total: - 4-or-more-person household: - No vehicle available,Margin of Error; Total: - 4-or-more-person household: - No vehicle available,Estimate; Total: - 4-or-more-person household: - 1 vehicle available,Margin of Error; Total: - 4-or-more-person household: - 1 vehicle available,Estimate; Total: - 4-or-more-person household: - 2 vehicles available,Margin of Error; Total: - 4-or-more-person household: - 2 vehicles available,Estimate; Total: - 4-or-more-person household: - 3 vehicles available,Margin of Error; Total: - 4-or-more-person household: - 3 vehicles available,Estimate; Total: - 4-or-more-person household: - 4 or more vehicles available,Margin of Error; Total: - 4-or-more-person household: - 4 or more vehicles available
8600000US70001,70001,ZCTA5 70001,17732,396,1314,279,8376,506,6081,387,1515,204,446,132,7028,398,1032,210,5417,440,504,110,32,28,43,40,5868,423,203,102,1855,303,3369,363,385,92,56,29,2232,321,74,72,582,202,929,217,642,145,5,9,2604,245,5,11,522,154,1279,182,456,111,342,118
8600000US70002,70002,ZCTA5 70002,8709,227,680,162,3502,357,3695,330,521,139,311,131,2879,292,429,119,2156,275,250,113,0,23,44,48,3114,282,99,60,818,233,2017,281,148,87,32,37,1385,266,127,92,308,112,595,179,232,97,123,91,1331,198,25,39,220,95,833,168,141,59,112,59
8600000US70003,70003,ZCTA5 70003,16022,388,817,215,5933,401,6269,461,2201,296,802,158,4721,358,429,124,3648,328,535,173,23,26,86,62,5314,370,94,67,1403,231,3228,274,519,150,70,53,2735,324,114,82,392,154,1292,209,810,173,127,72,3252,289,180,149,490,173,1214,231,849,183,519,122
8600000US70005,70005,ZCTA5 70005,11519,296,651,160,5351,380,4141,303,1079,176,297,89,4356,346,425,118,3514,361,324,124,83,72,10,16,4121,297,165,92,1179,187,2395,272,349,112,33,25,1407,211,46,45,383,131,544,127,377,109,57,51,1635,167,15,19,275,115,878,155,270,76,197,69
8600000US70006,70006,ZCTA5 70006,5975,241,284,107,2146,257,2515,312,837,194,193,79,1418,238,150,61,1191,220,77,65,0,19,0,19,1997,228,107,77,444,113,1297,210,125,64,24,32,1191,212,16,21,266,134,461,165,422,133,26,24,1369,186,11,19,245,100,680,175,290,137,143,69
8600000US70030,70030,ZCTA5 70030,1422,199,56,51,344,120,576,156,306,133,140,129,237,104,27,33,182,92,28,33,0,12,0,12,339,106,21,36,123,76,195,82,0,12,0,12,478,169,0,12,39,34,196,117,171,94,72,110,368,125,8,12,0,12,157,85,135,95,68,58
8600000US70031,70031,ZCTA5 70031,502,50,0,12,157,52,204,63,108,42,33,24,133,53,0,12,102,46,31,28,0,12,0,12,170,50,0,12,48,32,96,43,26,25,0,12,64,36,0,12,0,12,6,9,53,33,5,8,135,53,0,12,7,8,71,41,29,24,28,24
8600000US70032,70032,ZCTA5 70032,1688,116,122,60,644,81,807,106,88,36,27,18,573,105,79,43,409,82,78,46,7,9,0,12,599,98,7,9,139,46,427,82,15,15,11,11,223,71,15,22,55,36,122,58,31,22,0,12,293,68,21,32,41,28,180,59,35,28,16,13
8600000US70036,70036,ZCTA5 70036,482,100,16,14,189,90,277,80,0,12,0,12,166,78,7,9,134,77,25,26,0,12,0,12,190,76,9,11,33,32,148,68,0,12,0,12,32,36,0,12,11,15,21,33,0,12,0,12,94,51,0,12,11,14,83,49,0,12,0,12
