GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No vehicle available,Margin of Error; Total: - No vehicle available,Estimate; Total: - 1 vehicle available,Margin of Error; Total: - 1 vehicle available,Estimate; Total: - 2 vehicles available,Margin of Error; Total: - 2 vehicles available,Estimate; Total: - 3 vehicles available,Margin of Error; Total: - 3 vehicles available,Estimate; Total: - 4 or more vehicles available,Margin of Error; Total: - 4 or more vehicles available,Estimate; Total: - 1-person household:,Margin of Error; Total: - 1-person household:,Estimate; Total: - 1-person household: - No vehicle available,Margin of Error; Total: - 1-person household: - No vehicle available,Estimate; Total: - 1-person household: - 1 vehicle available,Margin of Error; Total: - 1-person household: - 1 vehicle available,Estimate; Total: - 1-person household: - 2 vehicles available,Margin of Error; Total: - 1-person household: - 2 vehicles available,Estimate; Total: - 1-person household: - 3 vehicles available,Margin of Error; Total: - 1-person household: - 3 vehicles available,Estimate; Total: - 1-person household: - 4 or more vehicles available,Margin of Error; Total: - 1-person household: - 4 or more vehicles available,Estimate; Total: - 2-person household:,Margin of Error; Total: - 2-person household:,Estimate; Total: - 2-person household: - No vehicle available,Margin of Error; Total: - 2-person household: - No vehicle available,Estimate; Total: - 2-person household: - 1 vehicle available,Margin of Error; Total: - 2-person household: - 1 vehicle available,Estimate; Total: - 2-person household: - 2 vehicles available,Margin of Error; Total: - 2-person household: - 2 vehicles available,Estimate; Total: - 2-person household: - 3 vehicles available,Margin of Error; Total: - 2-person household: - 3 vehicles available,Estimate; Total: - 2-person household: - 4 or more vehicles available,Margin of Error; Total: - 2-person household: - 4 or more vehicles available,Estimate; Total: - 3-person household:,Margin of Error; Total: - 3-person household:,Estimate; Total: - 3-person household: - No vehicle available,Margin of Error; Total: - 3-person household: - No vehicle available,Estimate; Total: - 3-person household: - 1 vehicle available,Margin of Error; Total: - 3-person household: - 1 vehicle available,Estimate; Total: - 3-person household: - 2 vehicles available,Margin of Error; Total: - 3-person household: - 2 vehicles available,Estimate; Total: - 3-person household: - 3 vehicles available,Margin of Error; Total: - 3-person household: - 3 vehicles available,Estimate; Total: - 3-person household: - 4 or more vehicles available,Margin of Error; Total: - 3-person household: - 4 or more vehicles available,Estimate; Total: - 4-or-more-person household:,Margin of Error; Total: - 4-or-more-person household:,Estimate; Total: - 4-or-more-person household: - No vehicle available,Margin of Error; Total: - 4-or-more-person household: - No vehicle available,Estimate; Total: - 4-or-more-person household: - 1 vehicle available,Margin of Error; Total: - 4-or-more-person household: - 1 vehicle available,Estimate; Total: - 4-or-more-person household: - 2 vehicles available,Margin of Error; Total: - 4-or-more-person household: - 2 vehicles available,Estimate; Total: - 4-or-more-person household: - 3 vehicles available,Margin of Error; Total: - 4-or-more-person household: - 3 vehicles available,Estimate; Total: - 4-or-more-person household: - 4 or more vehicles available,Margin of Error; Total: - 4-or-more-person household: - 4 or more vehicles available
320M300US2210780,2210780,"Alexandria, LA Metro Area; Louisiana",55303,852,4730,450,20768,927,21003,830,6476,479,2326,339,16430,856,2666,358,10830,735,2594,392,252,121,88,90,18261,707,999,231,4828,442,9544,542,2319,272,571,152,9169,635,554,197,2662,350,3738,405,1846,291,369,113,11443,631,511,161,2448,388,5127,491,2059,280,1298,248
320M300US2212820,2212820,"Bastrop, LA Micro Area; Louisiana",10077,298,1110,182,3910,342,3495,326,1125,186,437,115,3257,366,727,140,2047,309,405,120,71,43,7,12,3764,249,195,59,1101,206,1956,260,358,87,154,60,1290,207,54,43,292,115,402,113,425,124,117,65,1766,255,134,70,470,171,732,197,271,98,159,85
320M300US2212940,2212940,"Baton Rouge, LA Metro Area; Louisiana",301894,1780,19345,1061,107700,2146,117611,1899,43078,1510,14160,937,84874,1990,11679,695,61165,1701,10143,913,1357,296,530,218,102499,2082,4072,529,25797,1213,58903,1519,11442,613,2285,401,51446,1784,1726,324,11032,867,20706,1031,14863,1023,3119,384,63075,1519,1868,351,9706,733,27859,1152,15416,938,8226,687
320M300US2214220,2214220,"Bogalusa, LA Micro Area; Louisiana",17542,398,1589,329,6545,513,6373,506,1932,286,1103,231,5242,367,901,228,3200,348,981,226,81,60,79,56,5997,431,333,156,1783,345,2907,327,653,181,321,130,2677,390,161,84,617,157,1093,243,610,186,196,106,3626,361,194,90,945,221,1392,277,588,175,507,149
320M300US2219760,2219760,"DeRidder, LA Micro Area; Louisiana",13327,321,881,197,3745,372,5587,380,2205,261,909,199,3447,334,600,168,2019,268,650,174,122,58,56,42,4682,337,178,68,800,170,2661,281,784,169,259,111,1907,241,55,38,387,99,809,194,525,131,131,57,3291,308,48,25,539,173,1467,243,774,192,463,154
320M300US2222860,2222860,"Fort Polk South, LA Micro Area; Louisiana",17930,345,876,143,6610,392,7067,358,2533,240,844,138,4729,337,555,111,3322,301,666,122,137,56,49,27,5514,329,156,60,1591,223,2717,229,844,137,206,57,3284,277,81,39,763,182,1559,196,713,125,168,52,4403,258,84,39,934,174,2125,263,839,127,421,96
320M300US2225220,2225220,"Hammond, LA Metro Area; Louisiana",47598,668,3142,426,17378,896,17844,972,6442,679,2792,474,12910,849,1774,346,9111,721,1646,349,316,142,63,49,15756,834,609,209,4150,446,8875,763,1801,304,321,156,9033,736,344,150,2212,428,3438,445,2089,367,950,311,9899,650,415,183,1905,372,3885,479,2236,416,1458,317
320M300US2226380,2226380,"Houma-Thibodaux, LA Metro Area; Louisiana",76330,775,5656,533,25728,1146,32042,1021,9720,554,3184,399,18776,930,3242,383,12927,811,2267,406,274,151,66,59,25665,868,1066,270,6641,627,15077,672,2204,274,677,190,13961,763,821,208,3231,426,5712,497,3585,375,612,188,17928,757,527,161,2929,419,8986,631,3657,416,1829,273
320M300US2227660,2227660,"Jennings, LA Micro Area; Louisiana",11435,327,838,170,4328,357,4237,298,1461,228,571,131,3174,318,389,129,2317,292,418,147,50,56,0,26,3667,302,169,85,1125,211,1830,204,422,108,121,67,2067,234,191,103,367,114,967,204,423,136,119,63,2527,232,89,61,519,157,1022,159,566,141,331,117
320M300US2229180,2229180,"Lafayette, LA Metro Area; Louisiana",179928,1495,13852,919,62916,1762,73619,1863,22099,866,7442,613,48871,1423,8542,713,34211,1308,5115,600,742,180,261,120,60463,1565,2672,397,15265,1020,36282,1225,5004,530,1240,250,31348,1318,1181,245,7672,593,13503,1086,7920,608,1072,218,39246,1268,1457,326,5768,557,18719,940,8433,684,4869,487
320M300US2229340,2229340,"Lake Charles, LA Metro Area; Louisiana",79816,813,5052,490,30091,1156,30026,899,10699,682,3948,439,23207,810,3387,370,16627,768,2793,371,356,158,44,54,26023,897,820,210,6741,585,14903,695,2897,450,662,207,13837,747,548,194,3260,354,5460,507,3627,405,942,192,16749,757,297,145,3463,497,6870,506,3819,416,2300,338
