GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
8600000US70001,70001,ZCTA5 70001,50155,2793
8600000US70002,70002,ZCTA5 70002,54507,2520
8600000US70003,70003,ZCTA5 70003,55839,2863
8600000US70005,70005,ZCTA5 70005,62012,4012
8600000US70006,70006,ZCTA5 70006,62532,5652
8600000US70030,70030,ZCTA5 70030,70278,22289
8600000US70031,70031,ZCTA5 70031,72955,11340
8600000US70032,70032,ZCTA5 70032,44030,3949
8600000US70036,70036,ZCTA5 70036,50833,16143
8600000US70037,70037,ZCTA5 70037,57607,4711
8600000US70038,70038,ZCTA5 70038,15750,4457
8600000US70039,70039,ZCTA5 70039,30822,9149
8600000US70040,70040,ZCTA5 70040,37019,20417
8600000US70041,70041,ZCTA5 70041,40052,16332
8600000US70043,70043,ZCTA5 70043,43590,3015
8600000US70047,70047,ZCTA5 70047,78250,12801
8600000US70049,70049,ZCTA5 70049,45558,14588
8600000US70050,70050,ZCTA5 70050,-,**
8600000US70051,70051,ZCTA5 70051,45455,17225
8600000US70052,70052,ZCTA5 70052,49113,9337
8600000US70053,70053,ZCTA5 70053,39711,3800
8600000US70056,70056,ZCTA5 70056,50380,3531
8600000US70057,70057,ZCTA5 70057,56625,18196
8600000US70058,70058,ZCTA5 70058,46001,4061
8600000US70062,70062,ZCTA5 70062,39508,4043
8600000US70065,70065,ZCTA5 70065,57712,2987
8600000US70067,70067,ZCTA5 70067,44918,7591
8600000US70068,70068,ZCTA5 70068,59774,3441
8600000US70070,70070,ZCTA5 70070,73207,12018
8600000US70071,70071,ZCTA5 70071,50817,10504
8600000US70072,70072,ZCTA5 70072,47204,1823
8600000US70075,70075,ZCTA5 70075,70298,8317
8600000US70076,70076,ZCTA5 70076,31450,9709
8600000US70079,70079,ZCTA5 70079,66763,6525
8600000US70080,70080,ZCTA5 70080,77169,19357
8600000US70082,70082,ZCTA5 70082,-,**
8600000US70083,70083,ZCTA5 70083,30554,6218
8600000US70084,70084,ZCTA5 70084,48147,7276
8600000US70085,70085,ZCTA5 70085,44046,6736
8600000US70086,70086,ZCTA5 70086,30505,4366
8600000US70087,70087,ZCTA5 70087,45595,7299
8600000US70090,70090,ZCTA5 70090,47079,5010
8600000US70091,70091,ZCTA5 70091,50804,41102
8600000US70092,70092,ZCTA5 70092,37355,7048
8600000US70094,70094,ZCTA5 70094,34199,3131
8600000US70112,70112,ZCTA5 70112,50313,10359
8600000US70113,70113,ZCTA5 70113,15675,1684
8600000US70114,70114,ZCTA5 70114,28442,3344
8600000US70115,70115,ZCTA5 70115,59985,3763
8600000US70116,70116,ZCTA5 70116,33224,4041
8600000US70117,70117,ZCTA5 70117,27720,1620
8600000US70118,70118,ZCTA5 70118,41227,2577
8600000US70119,70119,ZCTA5 70119,35331,1774
8600000US70121,70121,ZCTA5 70121,47710,3458
8600000US70122,70122,ZCTA5 70122,37974,2511
8600000US70123,70123,ZCTA5 70123,64878,3012
8600000US70124,70124,ZCTA5 70124,90033,4029
8600000US70125,70125,ZCTA5 70125,40156,4169
8600000US70126,70126,ZCTA5 70126,25572,1527
8600000US70127,70127,ZCTA5 70127,26113,1937
8600000US70128,70128,ZCTA5 70128,38895,4448
8600000US70129,70129,ZCTA5 70129,39458,3349
8600000US70130,70130,ZCTA5 70130,50716,4042
8600000US70131,70131,ZCTA5 70131,48833,3917
8600000US70139,70139,ZCTA5 70139,-,**
8600000US70163,70163,ZCTA5 70163,-,**
8600000US70301,70301,ZCTA5 70301,48280,3303
8600000US70339,70339,ZCTA5 70339,64732,14937
8600000US70340,70340,ZCTA5 70340,-,**
8600000US70341,70341,ZCTA5 70341,36236,5632
8600000US70342,70342,ZCTA5 70342,43906,7967
8600000US70343,70343,ZCTA5 70343,62162,9927
8600000US70344,70344,ZCTA5 70344,41509,9298
8600000US70345,70345,ZCTA5 70345,57813,7299
8600000US70346,70346,ZCTA5 70346,37019,5791
8600000US70352,70352,ZCTA5 70352,-,**
8600000US70353,70353,ZCTA5 70353,36103,28481
8600000US70354,70354,ZCTA5 70354,55483,5695
8600000US70355,70355,ZCTA5 70355,41389,13924
8600000US70356,70356,ZCTA5 70356,23901,4640
8600000US70357,70357,ZCTA5 70357,50015,12749
8600000US70358,70358,ZCTA5 70358,37438,8117
8600000US70359,70359,ZCTA5 70359,50211,7210
8600000US70360,70360,ZCTA5 70360,61911,7834
8600000US70363,70363,ZCTA5 70363,36806,4384
8600000US70364,70364,ZCTA5 70364,53541,3453
8600000US70372,70372,ZCTA5 70372,47798,9369
8600000US70373,70373,ZCTA5 70373,52879,8334
8600000US70374,70374,ZCTA5 70374,61682,3534
8600000US70375,70375,ZCTA5 70375,-,**
8600000US70377,70377,ZCTA5 70377,42525,8731
8600000US70380,70380,ZCTA5 70380,41027,1848
8600000US70390,70390,ZCTA5 70390,45994,9077
8600000US70391,70391,ZCTA5 70391,73966,25563
8600000US70392,70392,ZCTA5 70392,48417,4416
8600000US70393,70393,ZCTA5 70393,60859,26585
8600000US70394,70394,ZCTA5 70394,46177,7714
8600000US70395,70395,ZCTA5 70395,60450,12269
8600000US70397,70397,ZCTA5 70397,44688,23003
8600000US70401,70401,ZCTA5 70401,40575,4727
8600000US70402,70402,ZCTA5 70402,-,**
